

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
133.345  000.044  000.044: require('dapui.elements.watches')
133.390  000.040  000.040: require('dapui.components.watches')
135.460  000.042  000.042: require('dapui.elements.hover')
137.941  000.047  000.047: require('dapui.components.hover')
138.006  000.049  000.049: require('dapui.elements.console')
138.116  000.048  000.048: require('dap.ui')
138.125  000.113  000.065: require('dap.repl')
140.404  016.472  014.430: require('mfaris.plugin-config.dap')
140.405  061.476  000.069: require('mfaris.plugin-config')
140.444  130.402  000.085: sourcing /Users/mohdfaris/.config/nvim/init.lua
140.468  003.054: sourcing vimrc file(s)
140.855  000.009  000.009: sourcing /Users/mohdfaris/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
141.005  000.012  000.012: sourcing /Users/mohdfaris/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
141.310  000.595  000.575: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/filetype.lua
141.344  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/filetype.vim
141.614  000.050  000.050: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/syntax/synload.vim
145.825  004.421  004.371: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/syntax/syntax.vim
147.409  000.083  000.083: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/gzip.vim
147.438  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/health.vim
147.856  000.083  000.083: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
147.964  000.505  000.422: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/matchit.vim
148.069  000.085  000.085: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/matchparen.vim
148.290  000.199  000.199: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/netrwPlugin.vim
148.411  000.006  000.006: sourcing /Users/mohdfaris/.local/share/nvim/rplugin.vim
148.415  000.097  000.091: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/rplugin.vim
148.483  000.044  000.044: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/shada.vim
148.529  000.013  000.013: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/spellfile.vim
148.613  000.053  000.053: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/tarPlugin.vim
148.689  000.048  000.048: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/tohtml.vim
148.729  000.011  000.011: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/tutor.vim
148.841  000.071  000.071: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/plugin/zipPlugin.vim
149.476  000.062  000.062: require('nvim-surround.config')
149.478  000.109  000.047: require('nvim-surround.buffer')
149.518  000.038  000.038: require('nvim-surround.cache')
149.601  000.042  000.042: require('nvim-surround.patterns')
149.603  000.084  000.042: require('nvim-surround.utils')
149.605  000.362  000.131: require('nvim-surround')
149.825  000.038  000.038: require('Navigator.navigate')
149.826  000.082  000.044: require('Navigator')
149.900  000.035  000.035: require('Navigator.mux.vi')
149.902  000.074  000.039: require('Navigator.mux.tmux')
